time_h,carbon_source,replicate,od
0.0,glc__D,1,0.028751043172990567
1.0,glc__D,1,0.03776200598884877
2.0,glc__D,1,0.05216260809169975
3.0,glc__D,1,0.06750344592881373
4.0,glc__D,1,0.0867301077159772
6.0,glc__D,1,0.1589981489848751
8.0,glc__D,1,0.28826330847545967
10.0,glc__D,1,0.4806140371916425
12.0,glc__D,1,0.7186451061601925
14.0,glc__D,1,1.0322798011555205
0.0,glc__D,2,0.0276810364820895
1.0,glc__D,2,0.03809163811511601
2.0,glc__D,2,0.044668295235493524
3.0,glc__D,2,0.06641663074869403
4.0,glc__D,2,0.0835653788893705
6.0,glc__D,2,0.1504564754124672
8.0,glc__D,2,0.2632546123996686
10.0,glc__D,2,0.4516267667732676
12.0,glc__D,2,0.7601843451555003
14.0,glc__D,2,1.1594475682092387
0.0,glc__D,3,0.028387807624365668
1.0,glc__D,3,0.040610266763723035
2.0,glc__D,3,0.04886304364288618
3.0,glc__D,3,0.06833145410228325
4.0,glc__D,3,0.09314269549000223
6.0,glc__D,3,0.15690866812779267
8.0,glc__D,3,0.26055870279207627
10.0,glc__D,3,0.43773576880267734
12.0,glc__D,3,0.7278071621760429
14.0,glc__D,3,1.1141376342746547
